,MAD,cox_pval_adj,elasticnet_coef
hsa-miR-410-3p,0.24076241128862633,0.0036178892699229113,-0.002880875126039219
hsa-miR-411-5p,0.13328741788337622,0.0038863428993745125,-0.0029938087080551403
hsa-miR-412-5p,0.18102333809248294,0.013600591626763947,-0.030128263820220047
hsa-miR-421,0.2651943995492438,0.0012048506325780294,0.0
hsa-miR-423-3p,0.580847576655909,5.771412523953173e-05,0.0
hsa-miR-423-5p,0.6266006122150161,8.890539744200863e-05,0.024157797680975722
hsa-miR-424-3p,0.25109809971408714,1.0,
hsa-miR-424-5p,0.5628028930271434,0.1469415525104627,
hsa-miR-425-3p,0.50598584951421,0.5983203163179371,
hsa-miR-425-5p,0.6233303175699565,1.0,
hsa-miR-429,0.10391198370912091,1.0,
hsa-miR-431-3p,0.2045902516551204,0.010046774914219913,0.006948881054447052
hsa-miR-432-5p,0.16107812440716981,0.0019340056806532442,0.0
hsa-miR-450a-5p,0.4831674091122524,1.0,
hsa-miR-450b-5p,0.5425467546734098,0.5694685757921273,
hsa-miR-451a,0.6245811561824643,0.009926401770644981,0.0
hsa-miR-452-3p,0.18722630059750517,3.6499123723388036e-10,0.0
hsa-miR-452-5p,0.440734122642302,0.00013576837770224094,-0.004033701003424796
hsa-miR-454-3p,0.5314946845281071,0.34594993843797645,
hsa-miR-455-3p,0.5513145323258041,0.989211797535358,
hsa-miR-455-5p,0.5090370359497178,0.01704482484523418,0.0
hsa-miR-4661-5p,0.37849974904995265,0.005111394014835895,0.018352945960007066
hsa-miR-4662a-5p,0.5574063313416484,1.0,
hsa-miR-4668-3p,0.21600898559694656,0.864529466585867,
hsa-miR-4677-3p,0.5658537490733894,1.0,
hsa-miR-4746-5p,0.28928424197918695,0.00019178606116693165,-0.030635783444530044
hsa-miR-4772-3p,0.2008741643223137,7.46864141036766e-07,-0.06439870914383711
hsa-miR-484,0.5926027001033182,0.0020372707883649153,0.0
hsa-miR-485-3p,0.14207308108029823,0.006639161771716927,0.039552910631637225
hsa-miR-486-5p,0.6339905359488115,0.024648298772181797,0.0
hsa-miR-487b-3p,0.13352398916493086,0.022344665231434455,0.0
hsa-miR-491-5p,0.24626081998730873,1.728e-299,-0.025661654583898123
hsa-miR-493-3p,0.12387343941198192,2.1267295616885697e-11,0.0
hsa-miR-493-5p,0.15168411028602885,1.2527177734169505e-08,0.0
hsa-miR-495-3p,0.1858101357078121,0.12126600234808853,
hsa-miR-497-5p,0.6026624211547404,8.559474606018878e-08,0.14918855352967608
hsa-miR-5000-3p,0.1908512651229324,0.976763062105995,
hsa-miR-500a-3p,0.5876284227033273,7.122698571994699e-06,0.0
hsa-miR-500a-5p,0.4467160638200164,0.19934847254123572,
hsa-miR-500b-3p,0.17532089834970388,0.3882283181863367,
hsa-miR-500b-5p,0.44659628108504523,0.19895258237609056,
hsa-miR-501-3p,0.47047919009418027,0.13268977528248516,
hsa-miR-501-5p,0.3288729045258302,0.0033076185309841243,0.0
hsa-miR-502-3p,0.5694092960266134,0.021102239907462045,-0.004916049243716914
hsa-miR-502-5p,0.17482865311994567,0.004890234649055167,0.0
hsa-miR-503-5p,0.40016679033124813,1.0,
hsa-miR-505-3p,0.573408007032428,1.0,
hsa-miR-505-5p,0.49486510535707956,0.2759665242946463,
hsa-miR-508-3p,0.282262582812397,9.571432728705532e-06,0.01797689519323977
hsa-miR-509-3p,0.20907574588409228,0.0002201690132327586,-0.0539475058224193
hsa-miR-511-5p,0.30879016369816015,3.474118325383105e-07,-0.13017764098973766
hsa-miR-514a-3p,0.22754701497761803,0.00022017285196276353,-0.005418051523893257
hsa-miR-532-3p,0.5857461917546832,2.1738931155201868e-07,0.0
hsa-miR-532-5p,0.5926695879757717,3.817650304973406e-08,0.0
hsa-miR-539-5p,0.1555555492045264,0.3846549691613352,
hsa-miR-542-3p,0.5957643852518936,1.8035728742025826e-05,-0.039251191508451265
hsa-miR-542-5p,0.22206339010832027,0.04853855106391602,0.0
hsa-miR-548v,0.1916582994860314,1.0,
hsa-miR-550a-3p,0.16634452028158153,3.109798133290756e-11,0.0
