,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
TCGA-18-3417-01,3.8876566001902133,-2.7543339561210196,-1.1517253817475352,2.0143949911783756,0.06292263399146612,1.2738273483862332,-2.1035388414026643,1.0008230217690481,2.7837003679699617,-2.1868431151228993,-1.3293966775140162,1.15061024677991,1.0988621125374718,-1.679634836901468,1.0460881309730077
TCGA-18-3421-01,0.9351413065198393,-7.269617260791793,-2.0415709172626055,-1.2731555051594432,-0.9132176042685449,0.017197510510019803,-0.2801136125632737,0.9590931837063343,0.7270567308047536,-1.7215914084784387,0.22407801812445444,1.9378974917972283,0.4425250239404506,-1.4098991041180213,2.320615687781055
TCGA-18-4721-01,7.6061075710998525,-0.8331499516440949,0.8678123722315814,0.04594770503533483,1.109771427819147,-0.9633264811677917,-2.3267246840947546,-0.955613481215099,-0.64985968559099,-2.4969713295959535,-0.776235665694507,0.9115877233733903,1.3572530168223345,-0.6789759641819803,0.17967565205367736
TCGA-18-5592-01,4.431388507352303,-4.398257373562929,-0.6143598136959167,2.3015608532920244,1.2947926388323627,-0.3296568941056884,-0.018320383079620833,-2.7063251113760485,0.6360040083086588,-1.8930800073873688,-0.36324910146886236,0.30111016291704906,1.075352658349046,-2.224521752240354,1.5943418027993066
TCGA-20-0991-01,4.096707592080992,-3.574996075940052,-4.367205394777439,-3.32229408732778,-0.06409920132028184,-1.6993874500503368,-1.8840189859003682,-1.8803006668194617,5.2382340132065695,-1.81456447755543,-2.0381571108093666,1.0638761445586788,0.9127600660741925,-0.004787968463789321,0.8138009502481346
TCGA-21-1076-01,0.2042306673914094,-3.8906330157384286,3.2406805842806157,2.6996589139957066,-0.23673199772087317,-1.743723589891297,-0.9567349384481048,-0.7256999218860305,0.11281905566630708,0.11776574247893781,0.6558227188256501,1.1542768343961707,-0.3390793991597945,0.13507480351010442,0.9352190132350958
TCGA-21-5782-01,0.9818617369456806,-6.957669676196629,1.9496684429193056,-0.4019358816464271,-0.9619312686848912,-2.4522888448428026,-0.719959513271377,-0.009053580545795218,0.7184271569042118,0.7581942059962594,-0.41086027373264683,0.6021438572950281,0.26658393878293213,-0.6548019560732219,1.8772620776024422
TCGA-21-5783-01,0.8043368752498216,-5.816995073567015,4.465684771150236,1.700960602734244,1.3166610571182908,-3.897636380342161,0.7165515836705033,-2.073996038929646,0.20230209968287374,1.2478181384871578,-1.1861724234888926,-0.629807350404769,-0.850394810079179,0.5815388768844781,0.5527753849758273
TCGA-21-5784-01,3.9654187304452027,-3.3593888650785564,-0.34500655621275084,0.0938018005003394,-2.833919838945777,2.940570137958722,-1.4285392886551342,2.2956969950025328,1.6859149284313046,-0.1557539243541557,-1.3930437618565839,1.8842488287167514,0.6910217853957312,-1.2323723539909468,0.533928466752545
TCGA-21-5786-01,-2.2280720429420615,-10.046348851103643,0.8028051011567702,-0.2851414362099253,-0.15724819020372108,-2.817070384562433,-0.2288289428403906,-0.05104642073424611,0.9999566768352081,-0.6848303785202162,-0.4928823116672739,1.4843756096686822,2.370071969243655,-2.016222031467227,-3.1619944628086154
TCGA-21-5787-01,4.45414549035399,-4.311813285010199,-2.7179871346239763,2.0441601523466892,-0.12283794665988264,-1.0913237360840427,-1.932330255659242,-1.300981943102222,0.21658339866964382,-1.219778209018338,-0.39558429446641846,1.3689462592537847,1.3433858332606252,-0.720867069508941,1.6729970457629868
TCGA-22-0940-01,-3.525664315593907,-5.653359068352373,0.8060172231921383,2.0582006001921727,-1.1003139851423258,-0.16736231194713566,-1.30024258875102,0.9126732674434664,1.4182780278803047,-1.3102886358789947,1.0286232374270217,1.0485802427744513,1.7471611523507926,-2.4496687637338015,-4.1926239245094585
TCGA-22-0944-01,0.050770550190126995,-4.2099661456676705,0.06543446351685586,1.5082308761865557,0.19075304237610216,0.8377957962930845,-0.3523177397254727,0.6174471538605455,0.90910944207071,-2.0128788181529065,0.7096414664357806,-1.798845324544025,0.35400788894102797,-1.5753403520381326,1.7785762905734466
